                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9068,                 5.1073,                  2.836,                0.00094,                0.20833,                0.00597,                0.00062,                 3.5863,                  6.181,                  3.082,                0.00011,                0.00011,                0.00011
                      2,                 2.1688,                 4.7221,                 2.2883,                0.00173,                   0.25,                0.12437,                0.07119,                0.91266,                 4.7338,                 1.0998,             0.00022772,             0.00022772,             0.00022772
                      3,                 1.7743,                 4.0088,                 1.9595,                0.00199,                   0.25,                0.06453,                0.02524,                 1.5174,                 5.0051,                 1.3163,             0.00034307,             0.00034307,             0.00034307
                      4,                 1.5335,                 3.5144,                 1.8074,                0.00487,                   0.25,                0.15811,                0.15032,                0.96321,                 3.6926,                 1.2517,             0.00045604,             0.00045604,             0.00045604
                      5,                 1.5395,                 3.5444,                 1.7426,                0.00439,                   0.25,                0.16958,                0.16477,                 1.0645,                 3.5676,                 1.2808,             0.00056664,             0.00056664,             0.00056664
                      6,                 1.4215,                 3.0029,                 1.6555,                0.87334,                   0.25,                0.24283,                0.16659,                 1.1294,                 2.9783,                 1.4906,             0.00067486,             0.00067486,             0.00067486
                      7,                 1.5089,                 3.0286,                 1.6947,                0.76499,                    0.5,                0.37057,                0.26418,                0.87315,                 2.1425,                0.91042,              0.0007807,              0.0007807,              0.0007807
                      8,                 1.4416,                  2.727,                 1.6662,                 0.6919,                0.39065,                 0.3844,                0.18894,                0.94217,                  2.431,                  1.101,             0.00088417,             0.00088417,             0.00088417
                      9,                 1.3446,                 2.8992,                 1.6414,                0.66173,                    0.5,                0.44006,                0.22689,                 1.1925,                 2.3338,                 1.3776,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.4566,                 2.7324,                 1.6527,                0.52894,                   0.75,                 0.6694,                0.26782,                 1.3072,                 2.3167,                  1.659,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.378,                 2.6656,                  1.637,                0.54315,                0.73609,                0.68479,                0.33325,                 1.0677,                 2.1799,                 1.2664,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.3262,                 2.4905,                 1.5707,                 0.5131,                   0.75,                 0.7048,                0.34865,                 1.2664,                 2.3842,                 1.3488,               0.000901,               0.000901,               0.000901
                     13,                 1.2878,                 2.3304,                 1.5296,                 0.3809,                0.79167,                0.61915,                0.35502,                 2.1862,                 2.7261,                 2.2595,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.3282,                  2.214,                 1.5602,                0.77773,                0.79167,                0.73902,                0.31914,                 2.0701,                 2.1432,                 2.2404,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.2349,                   2.25,                 1.5252,                0.75387,                    0.5,                0.63587,                0.23078,                 2.9397,                 2.5115,                 2.7439,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.2042,                 2.1272,                 1.5283,                0.87196,                0.49374,                0.45625,                0.28147,                0.98899,                 1.4213,                 1.2059,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.1566,                  2.099,                 1.5017,                0.51342,                0.97922,                0.88908,                0.47639,                0.97831,                 1.4258,                0.97548,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.2131,                 2.0358,                 1.4782,                0.69158,                 0.6979,                 0.7277,                0.37635,                0.84902,                 1.6336,                0.91556,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.2378,                 2.1791,                  1.503,                0.43081,                    0.5,                0.36265,                0.23692,                0.98851,                 2.2408,                 1.0371,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.1142,                  1.892,                  1.405,                 0.5887,                0.95833,                0.83524,                0.31946,                 1.6885,                 2.2374,                 1.8486,              0.0008218,              0.0008218,              0.0008218
                     21,                  1.248,                 1.9922,                 1.4113,                0.58581,                0.79167,                0.80548,                0.37795,                 1.4832,                 1.4699,                  1.503,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.1904,                 1.9647,                 1.4533,                0.43418,                0.79167,                0.79519,                0.42607,                0.86097,                 1.4669,                  1.002,               0.000802,               0.000802,               0.000802
                     23,                 1.1339,                 1.7312,                 1.4497,                0.74964,                0.66667,                0.73585,                0.35928,                0.95308,                 1.3737,                 1.0324,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.0786,                 1.7155,                 1.3579,                0.55806,                0.79167,                0.76534,                0.37209,                 1.0831,                 1.4021,                 1.1243,              0.0007822,              0.0007822,              0.0007822
                     25,                  1.085,                 1.6833,                 1.4129,                0.52964,                  0.875,                0.79582,                0.53381,                0.90775,                 1.3394,                0.96429,              0.0007723,              0.0007723,              0.0007723
                     26,                  1.097,                 1.7707,                 1.3859,                0.84137,                0.66667,                 0.7756,                0.48151,                0.85893,                 1.1781,                0.89834,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.0462,                 1.5693,                 1.3383,                 0.5715,                0.87419,                0.78841,                0.41593,                0.89425,                 1.2668,                0.88812,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.1323,                 1.6126,                 1.4496,                0.39613,                0.61815,                0.52253,                0.35217,                0.87811,                 1.3596,                 0.8374,              0.0007426,              0.0007426,              0.0007426
                     29,                  1.018,                 1.5218,                 1.3509,                  0.588,                0.73968,                 0.7725,                0.47013,                0.99344,                 1.1865,                 1.0386,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.0461,                  1.522,                 1.3919,                0.60593,                0.87264,                0.80895,                0.41862,                0.87035,                 1.0699,                0.91497,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.0315,                 1.5126,                 1.3209,                0.64296,                0.79167,                0.78812,                0.46505,                0.79859,                  1.236,                0.84875,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.0579,                 1.5434,                  1.315,                0.54884,                0.85879,                0.86491,                 0.5115,                0.75796,                 1.1332,                0.79505,               0.000703,               0.000703,               0.000703
                     33,                 1.0568,                 1.5316,                  1.342,                0.60771,                0.84181,                0.84634,                0.50226,                0.75275,                 1.0413,                0.83364,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.0329,                 1.5081,                 1.3456,                0.63279,                0.79167,                0.81738,                0.42604,                0.85241,                 1.0407,                0.95113,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.0148,                 1.4344,                 1.3027,                0.66598,                0.58124,                0.56268,                0.40194,                0.90949,                 1.1323,                 1.0717,              0.0006733,              0.0006733,              0.0006733
                     36,                0.99815,                 1.3848,                 1.3077,                 0.6206,                0.85285,                0.83205,                0.55174,                0.82515,                 1.0305,                 0.9646,              0.0006634,              0.0006634,              0.0006634
