                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2635,                 4.9874,                 4.2939,                0.00176,                   0.25,                0.00254,                0.00047,                  3.698,                 5.6646,                 4.1614,                0.00011,                0.00011,                0.00011
                      2,                 3.2013,                 5.0198,                 4.2406,                0.00179,                   0.25,                0.00205,                0.00043,                 3.7038,                 5.6542,                 4.1634,             0.00022772,             0.00022772,             0.00022772
                      3,                 3.2046,                 4.8525,                 4.1825,                0.00171,                   0.25,                0.00272,                0.00053,                 3.7086,                 5.4135,                 4.1602,             0.00034307,             0.00034307,             0.00034307
                      4,                  3.164,                 4.5594,                 4.0851,                0.00163,                   0.25,                0.00413,                0.00083,                 3.7735,                 5.0991,                   4.15,             0.00045604,             0.00045604,             0.00045604
                      5,                 3.1201,                 4.8453,                 3.9288,                0.00159,                   0.25,                0.01421,                0.00142,                  3.993,                 5.3297,                 4.2321,             0.00056664,             0.00056664,             0.00056664
                      6,                 2.9792,                  4.428,                 3.8092,                0.00159,                   0.25,                0.01421,                0.00142,                 4.3884,                 5.0362,                 4.4239,             0.00067486,             0.00067486,             0.00067486
                      7,                 2.9522,                 4.5373,                 3.6705,                0.00159,                   0.25,                0.01421,                0.00142,                 5.0871,                 5.1091,                 5.0939,              0.0007807,              0.0007807,              0.0007807
                      8,                  2.834,                 4.2691,                 3.5606,                0.75206,                   0.25,                0.00735,                0.00074,                 3.9456,                 6.2139,                 4.7617,             0.00088417,             0.00088417,             0.00088417
                      9,                 2.7429,                 4.4225,                  3.401,                0.00141,                0.33333,                0.00548,                0.00116,                 3.2751,                 4.2425,                  3.845,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.6829,                 4.0748,                  3.299,                0.00428,                0.33333,                0.04549,                  0.005,                 3.0319,                 15.327,                 3.8206,              0.0009208,              0.0009208,              0.0009208
                     11,                 2.7157,                 4.0715,                 3.2211,                0.00489,                    0.5,                0.26095,                0.06779,                 2.3518,                 4.3831,                 3.6508,              0.0009109,              0.0009109,              0.0009109
                     12,                 2.6824,                 3.9376,                 3.1881,                0.00054,                   0.25,                0.00124,                0.00032,                  2.378,                 7.8253,                 3.1776,               0.000901,               0.000901,               0.000901
                     13,                   2.49,                 3.7171,                 3.1539,                0.00169,                    0.5,                0.00338,                0.00115,                 2.2983,                 6.1551,                 3.1936,              0.0008911,              0.0008911,              0.0008911
                     14,                 2.6032,                 3.6974,                 3.1126,                0.77276,                   0.25,                0.28711,                0.14852,                  1.968,                 4.1404,                 3.3256,              0.0008812,              0.0008812,              0.0008812
                     15,                   2.46,                 3.5419,                 2.9876,                0.67904,                0.54167,                0.45997,                0.16188,                 1.6234,                 3.3929,                 2.9631,              0.0008713,              0.0008713,              0.0008713
                     16,                 2.4818,                 3.4574,                 2.9248,                0.83398,                    0.5,                0.53851,                0.18893,                 1.3845,                 2.8838,                 2.8498,              0.0008614,              0.0008614,              0.0008614
                     17,                 2.3977,                 3.4033,                 2.9502,                0.94135,                    0.5,                0.52995,                0.16995,                 1.4777,                 2.9048,                 2.7544,              0.0008515,              0.0008515,              0.0008515
                     18,                 2.3838,                 3.3043,                 2.8759,                0.74087,                0.60862,                0.56955,                0.20777,                   1.52,                 2.6262,                 2.5703,              0.0008416,              0.0008416,              0.0008416
                     19,                 2.4089,                 3.4147,                 2.8332,                0.78454,                  0.375,                0.37964,                0.15422,                 1.4765,                 3.0293,                  2.437,              0.0008317,              0.0008317,              0.0008317
                     20,                 2.3697,                 3.2937,                  2.749,                      1,                0.15257,                0.27882,                0.14144,                 1.8777,                 2.8264,                  2.862,              0.0008218,              0.0008218,              0.0008218
                     21,                 2.2953,                 3.2422,                 2.6984,                0.73742,                  0.375,                0.43703,                0.21043,                 1.7326,                 2.8795,                  2.748,              0.0008119,              0.0008119,              0.0008119
                     22,                 2.3678,                 3.1284,                 2.7406,                0.81163,                  0.375,                0.55509,                0.28519,                 1.6202,                 2.9301,                 2.6549,               0.000802,               0.000802,               0.000802
                     23,                 2.1795,                 2.9969,                 2.6487,                0.98409,                   0.25,                0.46352,                0.18611,                 2.2023,                 2.6818,                 3.5488,              0.0007921,              0.0007921,              0.0007921
                     24,                 2.3168,                 3.0033,                 2.6731,                0.60453,                  0.625,                0.57139,                0.30428,                 1.5438,                 2.5287,                 2.3306,              0.0007822,              0.0007822,              0.0007822
                     25,                 2.2105,                 2.9972,                 2.6122,                0.58119,                  0.625,                0.58113,                0.30476,                 1.3685,                 2.2606,                 2.0858,              0.0007723,              0.0007723,              0.0007723
                     26,                   2.23,                 3.0293,                 2.6577,                0.91427,                  0.375,                0.54861,                0.30929,                 1.3144,                 2.3569,                 2.0455,              0.0007624,              0.0007624,              0.0007624
                     27,                 2.1856,                 2.9517,                 2.5899,                0.82609,                  0.375,                0.55591,                0.35086,                 1.3449,                 2.5204,                 2.0779,              0.0007525,              0.0007525,              0.0007525
                     28,                 2.1835,                 2.9512,                   2.54,                0.74448,                  0.375,                0.49797,                0.23382,                 1.5019,                 2.3907,                 2.3255,              0.0007426,              0.0007426,              0.0007426
                     29,                 2.0911,                 2.7367,                 2.4672,                0.56338,                  0.625,                 0.5501,                0.31876,                 1.7528,                 2.2419,                 2.7762,              0.0007327,              0.0007327,              0.0007327
                     30,                 2.1336,                 2.8047,                 2.5038,                0.55246,                 0.6046,                0.53203,                0.25393,                  1.402,                 2.2733,                 2.1505,              0.0007228,              0.0007228,              0.0007228
