                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2317,                 4.8209,                 2.1041,                0.00215,                0.41399,                0.19131,                0.10544,                 1.5081,                 4.4019,                 1.3832,             0.00032828,             0.00032828,             0.00032828
                      2,                  1.786,                 3.5809,                 1.7781,                0.58784,                0.72149,                0.60019,                0.23436,                 1.5648,                 2.5647,                 1.5405,             0.00065507,             0.00065507,             0.00065507
                      3,                 1.6901,                 2.9958,                 1.7232,                0.66143,                0.63297,                0.64317,                0.27511,                 1.6298,                 2.1878,                 1.6403,             0.00097525,             0.00097525,             0.00097525
                      4,                 1.6585,                 2.6349,                 1.6798,                0.72894,                0.60777,                0.67458,                0.26519,                 1.5732,                 2.1678,                 1.6252,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6694,                  2.419,                  1.667,                0.73275,                0.59931,                0.74093,                0.31984,                 1.4884,                  2.306,                 1.5269,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.6132,                 2.2017,                 1.6184,                0.50773,                0.62122,                 0.6806,                0.29805,                 1.6437,                 1.7805,                  1.518,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.5796,                 2.0297,                 1.6184,                0.77354,                0.61102,                0.77882,                0.33959,                 1.6435,                 1.7213,                  1.691,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5419,                 1.9489,                 1.5998,                0.64301,                0.75536,                0.80016,                0.36361,                 1.7507,                 1.4132,                 1.8091,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5419,                 1.8311,                 1.5541,                0.68647,                0.84559,                0.79627,                0.35017,                 1.4983,                 1.3768,                 1.5293,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.4718,                 1.7334,                 1.5474,                0.56126,                0.77313,                0.79149,                0.36546,                 1.4869,                 1.3914,                 1.5804,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5259,                 1.6869,                 1.5355,                0.55552,                 0.8118,                0.70061,                0.33815,                 1.6191,                 1.2818,                 1.6276,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.4299,                 1.6249,                 1.5011,                0.64574,                0.74825,                0.78743,                0.34384,                 1.5239,                 1.4109,                  1.616,               0.000901,               0.000901,               0.000901
                     13,                   1.46,                 1.6212,                 1.5197,                0.65599,                0.79208,                 0.7645,                0.35105,                  1.668,                 1.2904,                 1.7341,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.4542,                 1.5576,                 1.4933,                0.68651,                0.79204,                0.81584,                 0.3872,                  1.428,                 1.2709,                 1.3853,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.4369,                 1.5064,                 1.4836,                0.68334,                0.79082,                0.79935,                0.38421,                 1.4606,                  1.266,                 1.5046,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4041,                   1.51,                 1.4865,                0.65707,                0.78161,                 0.7735,                0.39026,                 1.4599,                  1.211,                 1.4523,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.4278,                 1.4829,                 1.4963,                0.67884,                0.86736,                0.80382,                0.40452,                 1.2881,                 1.2584,                 1.3285,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.3988,                 1.4548,                 1.4425,                0.70452,                0.77254,                 0.7903,                 0.4013,                 1.3414,                 1.2376,                 1.3385,              0.0008416,              0.0008416,              0.0008416
                     19,                  1.388,                  1.452,                   1.47,                0.68962,                0.79352,                0.81024,                0.39753,                 1.3441,                 1.4065,                 1.3604,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.3587,                 1.4381,                 1.4487,                0.78586,                 0.7913,                0.85902,                0.42581,                  1.274,                 1.1474,                 1.2852,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.3719,                 1.4197,                  1.466,                0.76792,                0.78318,                 0.8254,                0.41084,                 1.3942,                 1.2475,                  1.327,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.3375,                 1.3768,                 1.4164,                0.78079,                0.84539,                 0.8588,                0.42628,                 1.4225,                 1.0829,                 1.4306,               0.000802,               0.000802,               0.000802
                     23,                 1.3203,                 1.3439,                 1.4013,                0.73128,                0.87888,                0.86978,                 0.4199,                 1.5157,                 1.1448,                 1.4759,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.3707,                 1.4001,                 1.4429,                 0.6995,                 0.7289,                0.83812,                0.38567,                 1.3654,                 1.3201,                 1.3812,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.3109,                 1.3823,                 1.4032,                0.65033,                0.80642,                0.78491,                0.38832,                 1.5443,                 1.2604,                  1.529,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.3265,                 1.3496,                 1.4189,                0.76662,                0.76525,                0.83542,                0.41648,                 1.5998,                  1.272,                 1.5779,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.3331,                 1.3166,                 1.4045,                0.82348,                0.83696,                0.88654,                0.43292,                  1.452,                 1.1287,                   1.44,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.3503,                 1.3473,                 1.4018,                0.80634,                0.86078,                0.86272,                0.43345,                 1.4212,                 1.0904,                  1.469,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.3436,                 1.3453,                  1.413,                 0.7119,                0.82738,                0.82063,                0.42583,                 1.3362,                 1.0807,                 1.2917,              0.0007327,              0.0007327,              0.0007327
